Team,PtDiff,Offense,Defense,Threes,DefRebounds,OffRebounds,Blocks,Turnovers,Assists,Steals,FreeThrows,FreeThrowsGiven
Norfolk St,95.5307626377,100.466893661,94.9501001152,100.487863199,98.3673762145,99.4814677236,100.848818224,99.3589373901,99.418285987,99.8351503987,101.234033987,98.3373125887
NJIT,97.709454546,100.435272997,96.6176488053,101.556087347,99.885489404,98.9598701323,99.008402881,100.560954787,101.754504366,100.37789927,100.35776972,99.828335157
Nicholls St,83.2698583777,94.0177598397,92.8255591621,99.8672320464,98.5509730176,98.1291970578,100.182831251,101.608748126,99.4495477141,99.6565878641,99.0884596338,102.226348115
Niagara,90.7165815593,91.6285566044,99.8879553321,98.5684041375,98.3149730765,100.222374793,99.8613932282,101.522069449,97.9463159512,99.4611651656,97.7961372849,102.444175386
Northern Arizona,83.2230367635,95.0608001302,91.6795900632,100.258215716,99.2102442873,98.8694083658,98.483718647,100.831479663,99.0829958188,100.255491557,99.1978383737,100.796924053
Northeastern,102.658356766,99.053364013,101.596859105,101.702414054,99.1583429142,99.2121928983,99.6891921446,100.125768539,101.451593344,99.9362981503,99.9864623859,104.624907959
St Mary's CA,114.850323902,103.081993965,108.134345512,101.655775465,102.516515216,98.1355650178,99.5392019911,98.0017036865,103.122244034,99.2068801576,94.4633346422,104.704567065
St Peter's,95.8889089401,92.9157641599,102.754099343,99.5916594496,99.84750485,99.8243467184,99.8270500929,100.409030961,98.6735771019,99.3154810305,98.7368445312,102.770221032
St Francis PA,91.0280641913,94.8556189311,96.9501094019,99.9036155467,99.3128676836,100.053788126,99.2189752543,100.004795605,98.5141360462,98.6734056428,100.963680863,101.466421321
St John's,96.2837373619,96.8112501402,98.6270408096,99.628324135,100.782913491,99.4076585073,102.063604035,101.361689773,99.0171691549,99.8031359648,101.202394386,98.1912493698
St Joseph's PA,108.646698154,103.582672111,101.896395299,100.20742543,102.271976853,100.117433121,100.115167062,98.0055327485,101.492565319,99.2692348338,101.480279246,104.659675062
St Louis,95.2492992419,96.3467045338,99.6627895679,99.3698570208,100.021784192,97.0508149192,98.5667432976,100.444489505,100.779043202,99.6374953474,100.120490434,99.0212267331
Southern Univ,96.4376597369,96.271176447,99.5370122561,98.7121322771,98.429836402,99.6067111994,99.6473664892,98.6773645803,96.6221414298,100.764951149,99.8949960626,99.4373992785
Southern Utah,82.9759149711,95.7483343659,90.601585125,99.5944521403,97.0747391938,97.876624026,99.2678293054,100.334140731,98.6625806473,99.220402235,99.0378499809,99.1575560532
St Bonaventure,106.99179389,104.202412104,99.8299415275,100.989855274,99.1126140037,100.237434565,100.366000101,99.394077461,100.53410038,100.579673189,100.889222286,99.702069394
