Team,PtDiff,Offense,Defense,Pace,Threes,DefRebounds,OffRebounds,Blocks,Turnovers,Assists,Steals,FreeThrows,FreeThrowsGiven
Pacific,41,30,52,43,29,59,63,16,49,28,12,52,34
Penn,51,37,56,43,66,53,46,48,52,50,44,24,56
Penn St,63,54,55,53,52,63,52,80,59,49,61,59,63
Pepperdine,33,39,31,52,36,44,50,27,55,48,31,29,62
Pittsburgh,67,55,60,25,58,68,43,47,32,51,12,68,81
Portland,37,30,48,22,39,48,37,43,62,14,23,46,58
Portland St,39,62,23,68,49,25,44,23,41,51,82,64,44
Prairie View,30,28,37,43,46,22,39,48,53,28,75,43,22
Presbyterian,8,1,34,20,34,19,46,25,75,27,17,13,49
Princeton,68,41,71,38,84,46,32,37,15,51,50,6,69
Providence,72,46,71,33,54,53,41,41,39,50,53,50,78
Purdue,90,78,69,46,68,84,48,32,55,81,31,56,89
Quinnipiac,33,54,22,79,53,47,81,37,67,46,37,55,29
Radford,34,13,53,34,51,46,71,51,69,26,20,19,67
Rhode Island,74,53,68,50,35,56,73,86,31,41,53,64,26
Rice,54,62,34,47,66,58,55,49,67,38,37,71,43
Richmond,62,55,51,44,58,48,23,17,37,69,56,32,46
Rider,45,48,38,66,29,71,73,48,71,44,54,65,37
Robert Morris,36,24,52,35,29,35,57,21,69,19,69,66,31
Rutgers,52,33,64,59,16,64,86,66,56,27,50,51,68
S Carolina St,23,33,23,50,20,19,44,24,38,25,33,44,41
S Dakota St,45,54,36,26,67,51,41,23,49,43,30,68,76
S Illinois,51,38,57,42,25,34,54,50,32,28,57,51,64
Sacred Heart,29,39,31,56,36,49,61,25,85,46,52,48,50
Sam Houston St,42,38,44,53,27,49,62,30,69,45,56,63,22
Samford,54,56,44,38,56,53,47,23,50,59,41,63,53
San Diego,41,28,54,6,60,49,27,9,53,27,6,43,47
San Diego St,67,33,72,31,45,55,59,69,43,16,49,52,75
San Francisco,60,47,59,47,67,65,46,29,64,40,55,23,46
San Jose St,44,41,39,43,37,43,43,60,67,41,41,61,43
Santa Barbara,20,7,47,49,22,44,70,21,46,30,29,25,63
Santa Clara,53,29,65,19,75,41,17,13,34,48,29,2,59
Savannah St,29,74,2,96,96,65,67,35,69,63,72,66,37
SC Upstate,41,44,36,56,65,60,60,37,47,53,14,33,57
SE Louisiana,42,30,50,32,33,37,66,45,82,43,47,46,49
SE Missouri St,39,45,37,45,52,25,38,15,47,39,57,42,44
Seattle,35,23,48,16,60,49,19,20,75,51,40,32,52
