Team,PtDiff,Offense,Defense,Pace,Threes,DefRebounds,OffRebounds,Blocks,Turnovers,Assists,Steals,FreeThrows,FreeThrowsGiven
Savannah St,86.1816754552,87.7400202029,100.261886478,95.818219755,99.0622931844,97.2600950108,98.3010010456,99.161707605,101.426128293,96.5496996096,100.033221001,98.5838158418,99.6936499968
SC Upstate,87.2116498812,94.9171851298,93.7446476994,99.2520788374,99.8210556475,98.6298066555,100.413769892,99.3683027449,101.061376064,100.041617705,98.8375639801,97.357920795,99.555876203
Santa Barbara,105.151198415,99.7315912896,103.688532062,100.911852844,100.360974312,101.777551793,99.6190971832,99.5362215352,99.6185353007,101.332076985,100.101887071,96.4725337622,99.5758397277
Santa Clara,94.6430529119,95.9154418238,99.3419375695,98.5641322406,100.436047279,99.9041813257,98.1354283839,99.3578012468,99.4538291932,99.1740528713,98.6182849861,97.8250285632,99.1599111655
San Francisco,96.499278375,102.224827687,95.7146294666,101.841832846,100.566112352,100.721756601,101.352357996,99.4077926055,100.613351985,99.0311282391,99.4743902369,100.621171422,99.0570962869
San Jose St,93.7243663995,96.3277216403,98.4495989381,99.3045344119,99.5537605564,100.362987398,99.6826785763,100.294592454,101.008959319,100.440939914,99.4371514085,100.837932144,96.4766586337
San Diego,91.7148255394,92.0944713467,101.124417466,97.4863744641,99.6025510404,99.5378930559,99.0213022176,100.248372836,101.402777417,98.7448143001,98.9186802706,97.757499371,98.1271832012
San Diego St,109.768134698,98.0271918352,110.824602558,97.9516710234,99.107487034,101.70234433,100.84826334,101.68683748,99.9989541308,98.3730122738,99.5232818148,102.173909759,103.476541459
SE Louisiana,88.7026017387,95.3382541685,94.9934268023,99.1734965981,99.9765581888,98.1353679525,99.5068958537,99.4044452286,100.94026752,99.819453293,100.012392513,98.7143699584,98.7320054882
SE Missouri St,85.2373464787,93.0758042074,93.2962156117,101.956449678,98.2752434579,99.069586506,100.618400063,98.436829797,101.113106257,98.4694362433,101.009110311,99.6257024421,101.900751646
