Team,PtDiff,Offense,Defense,Pace,Threes,DefRebounds,OffRebounds,Blocks,Turnovers,Assists,Steals,FreeThrows,FreeThrowsGiven
St Peter's,59.65,20.12,92.13,15.57,70.22,37.9,23.4,34.08,23.29,37.42,70.25,25.62,83.47
Stanford,64.96,57.5,71.57,37.76,20.12,63.6,49.05,48.24,64.45,69.18,65.75,68.62,59.89
Stetson,15.52,58.82,12.9,80.28,63.02,61.08,26.2,23.68,32.91,47.71,19.01,54.57,51.27
Stony Brook,38.11,33.17,63.93,58.76,64.13,35.05,65.0,36.78,26.69,39.87,31.51,49.91,45.2
Syracuse,79.97,77.86,73.87,53.42,76.71,53.45,52.77,81.44,41.57,81.93,83.44,57.3,77.01
TAM C. Christi,43.05,47.83,48.0,51.18,17.47,31.38,45.32,62.34,51.5,49.37,86.4,57.49,46.89
TCU,82.11,75.22,79.94,61.21,49.11,59.16,65.88,82.1,44.6,92.76,60.99,48.88,76.79
Temple,58.53,62.56,63.26,68.27,75.94,58.36,45.72,71.41,35.45,74.07,55.17,34.11,71.57
Tennessee,76.3,74.82,68.1,67.56,31.16,74.07,71.42,83.99,35.2,79.0,43.12,84.48,41.92
Tennessee St,53.18,35.08,74.71,42.28,25.33,59.32,73.63,61.97,74.93,33.32,61.21,63.5,20.47
Tennessee Tech,27.98,39.42,46.37,53.12,50.6,43.57,55.39,55.09,58.52,57.06,62.06,53.97,46.24
Texas,68.62,51.28,84.93,53.07,24.74,69.68,47.83,85.11,53.63,49.22,57.79,55.45,79.38
Texas A&M,74.96,52.14,85.78,44.58,31.7,68.46,81.42,95.5,63.71,88.65,59.25,43.82,85.78
Texas St,46.59,22.09,82.26,22.41,28.44,31.4,40.09,72.53,31.8,65.18,53.15,40.75,66.8
Texas Tech,80.11,59.18,88.52,35.85,36.86,46.34,33.67,51.61,20.7,64.42,39.94,48.4,75.78
TN Martin,41.33,59.87,39.04,66.25,62.39,35.53,80.7,44.05,74.37,76.71,66.03,41.18,66.81
Toledo,58.92,60.44,58.46,39.29,56.81,65.73,49.42,36.51,48.27,80.78,12.99,59.13,82.6
Towson,61.11,58.28,66.0,51.05,15.61,64.72,90.8,54.63,60.4,24.13,70.73,84.62,28.96
Troy,55.9,67.74,45.45,57.75,59.91,49.86,60.0,49.37,41.95,44.87,50.06,63.95,61.99
Tulane,29.24,56.49,30.58,67.7,36.72,40.19,59.39,65.33,62.34,57.93,53.49,64.76,44.15
Tulsa,52.96,53.2,61.94,22.75,47.89,69.07,41.83,43.32,77.83,43.6,25.47,76.94,66.28
UTRGV,17.88,64.04,12.41,88.17,62.65,35.23,63.56,32.09,69.77,63.62,72.74,51.43,11.07
TX Southern,47.28,58.95,41.02,66.06,25.39,39.06,63.03,52.79,27.9,38.83,68.48,76.35,63.24
UAB,44.66,42.35,58.3,30.66,28.6,60.24,47.22,82.11,67.79,71.9,26.22,56.03,74.24
UC Davis,41.12,36.25,54.54,40.82,28.92,53.23,57.17,57.69,76.27,52.24,43.24,67.33,62.48
UC Irvine,55.42,38.68,72.02,50.72,41.87,86.19,68.31,77.14,69.07,45.3,28.94,39.73,44.25
UC Riverside,14.38,16.15,49.82,44.92,29.37,49.15,44.72,43.83,68.09,39.11,56.05,32.12,62.15
UCF,74.63,42.63,89.46,22.63,40.98,90.91,53.31,74.71,77.59,37.33,15.92,63.92,87.95
UCLA,93.16,97.21,48.63,89.84,78.82,94.84,45.02,92.03,48.87,98.57,56.65,45.32,80.75
ULL,57.07,87.27,26.34,84.15,42.6,41.25,84.98,32.29,54.81,67.23,67.31,80.59,51.99
ULM,24.69,22.16,62.18,64.12,42.74,49.02,60.16,25.01,43.26,54.5,28.37,17.47,69.07
UMBC,45.88,74.95,25.76,69.14,75.97,47.66,34.64,20.17,36.26,62.36,62.79,57.74,43.33
UNC Asheville,66.42,66.57,59.23,47.13,62.25,44.3,23.19,21.31,30.75,79.43,86.27,52.87,74.43
UNC Greensboro,61.81,53.34,61.52,62.61,74.8,40.88,62.65,59.91,59.92,55.66,54.38,28.97,60.5
UNC Wilmington,81.84,88.59,43.56,86.69,82.18,36.42,76.57,53.27,28.17,82.27,61.46,55.89,50.45
UNLV,32.27,36.59,52.79,51.07,38.16,67.82,63.53,35.69,56.17,47.27,44.46,70.36,84.22
USC,80.82,81.5,64.6,54.6,50.82,72.16,56.51,91.63,42.6,76.35,61.86,77.3,88.1
UT Arlington,77.53,79.08,58.1,78.01,69.28,75.34,79.13,23.66,56.17,83.41,74.4,62.62,52.75
UT San Antonio,28.57,25.96,55.42,71.14,14.69,66.42,85.57,26.06,50.48,26.14,38.59,66.49,51.95
Utah,80.94,81.42,68.17,48.91,40.27,79.46,45.54,57.04,66.7,78.08,57.55,53.69,73.57
Utah St,53.89,53.93,62.9,26.87,58.37,71.74,29.46,48.02,56.45,76.45,23.84,56.79,74.86
Utah Valley,43.41,63.57,37.36,52.0,68.03,84.2,24.57,62.92,77.67,73.07,45.75,61.89,48.06
UTEP,36.88,28.85,65.63,22.17,20.03,64.73,17.48,50.15,62.11,56.87,37.31,45.05,50.97
VA Commonwealth,84.52,71.72,79.99,61.58,30.99,59.71,61.84,69.15,48.08,77.81,79.32,61.86,45.51
Valparaiso,68.49,57.08,72.07,47.1,44.98,72.49,56.72,34.47,53.61,44.96,47.67,56.85,67.71
Vanderbilt,84.85,65.84,84.59,30.62,87.48,81.26,24.85,71.96,38.8,67.24,28.04,47.91,81.51
Vermont,76.67,55.54,80.92,31.7,39.15,43.4,41.22,70.38,41.4,56.44,39.62,43.26,84.63
Villanova,97.14,84.6,93.73,29.63,76.87,63.68,32.26,57.08,27.3,73.82,75.84,52.63,94.54
Virginia,94.67,46.57,98.47,19.0,53.01,57.63,29.63,75.86,14.01,75.51,51.67,27.36,86.76
Virginia Tech,82.09,83.76,66.16,37.19,76.47,62.29,17.63,47.19,41.98,77.56,19.43,74.17,82.82
VMI,15.32,39.19,21.99,67.26,76.44,30.34,45.12,60.88,51.98,40.68,53.19,29.39,37.74
W Carolina,17.9,13.65,52.57,56.6,30.22,35.08,73.13,28.65,77.21,35.63,53.36,24.04,26.4
W Illinois,18.73,32.77,36.44,45.31,69.94,62.9,12.72,75.25,54.35,42.51,22.89,36.63,35.15
WKU,33.77,39.78,48.59,36.29,42.34,56.05,41.67,56.56,49.58,53.54,23.03,58.05,85.36
W Michigan,49.25,60.35,45.42,61.83,40.65,45.24,61.48,43.99,53.03,52.55,33.26,56.1,63.58
Wagner,30.59,21.02,67.83,43.74,33.41,33.6,87.31,46.8,59.13,21.48,24.62,41.76,48.87
Wake Forest,86.89,94.81,49.28,65.3,70.86,79.27,60.69,72.77,41.69,88.74,48.75,85.99,47.36
Washington,47.1,74.72,34.34,71.73,45.85,61.87,78.19,91.74,73.46,54.14,52.71,63.62,54.64
Washington St,45.66,50.26,51.04,34.51,39.68,68.82,10.44,43.46,54.83,71.43,20.94,30.79,81.17
Weber St,46.77,59.64,47.82,18.32,64.03,39.31,10.65,45.71,43.08,48.32,31.45,66.73,74.23
West Virginia,95.43,91.79,85.94,85.81,59.09,42.52,89.15,85.53,35.91,90.21,94.63,81.4,48.05
WI Green Bay,45.8,69.88,33.72,78.33,33.55,81.39,71.26,59.13,65.91,58.05,67.81,77.83,58.17
WI Milwaukee,26.55,19.0,63.68,24.77,61.68,27.68,25.96,9.76,37.47,56.69,22.7,22.98,79.44
Wichita St,94.04,90.97,82.55,70.59,69.71,82.72,69.52,63.4,33.88,89.17,67.21,73.08,60.2
William & Mary,55.01,81.69,28.4,58.13,76.89,73.9,34.72,75.47,54.06,89.86,34.44,67.44,51.71
Winthrop,63.03,73.11,49.92,59.12,83.93,68.67,39.89,86.17,55.43,47.21,52.39,62.77,53.46
Wisconsin,91.26,60.05,94.6,46.73,55.67,63.22,71.0,63.83,29.4,64.52,70.11,48.87,91.28
Wofford,54.28,64.47,48.7,53.43,79.37,38.49,39.62,21.47,33.84,81.55,41.07,38.74,47.56
Wright St,48.2,62.52,42.08,46.6,78.66,48.07,48.34,21.45,73.26,72.64,36.89,62.49,53.67
Wyoming,54.82,73.1,37.28,60.91,79.25,89.05,32.84,79.43,69.48,71.19,36.47,77.64,37.55
Xavier,83.98,79.62,73.76,51.66,52.65,73.59,74.3,49.31,45.61,81.51,60.14,76.07,72.23
Yale,54.41,60.19,55.85,47.11,51.34,61.43,54.63,65.65,65.82,79.82,39.01,52.56,75.02
Youngstown St,21.14,63.83,15.19,87.76,58.21,59.56,54.85,37.47,37.2,73.19,42.42,32.99,70.8
